Device ID,Device Name,Fleet Name,Speed,Altitude,Creation Time,Location,Precision,Direct,Satellites,IO Status,Emergency,ACC State
2590000898,B 9979 SYM,"Sankyu,PT",29.17 km/h,46.0,2026-09-08 14:19:51,"106.773651,-6.283147",0.0,140,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",43.86 km/h,41.0,2026-09-08 14:19:21,"106.771713,-6.280901",0.0,138,17,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",44.8 km/h,40.0,2026-09-08 14:18:51,"106.769791,-6.278602",0.0,142,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",53.57 km/h,41.0,2026-09-08 14:18:25,"106.768158,-6.275832",0.0,162,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",49.32 km/h,45.0,2026-09-08 14:18:08,"106.767845,-6.273664",0.0,182,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",47.71 km/h,38.0,2026-09-08 14:17:38,"106.768425,-6.270115",0.0,185,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",46.6 km/h,40.0,2026-09-08 14:17:21,"106.768196,-6.268047",0.0,165,17,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",51.18 km/h,46.0,2026-09-08 14:16:51,"106.767899,-6.264353",0.0,176,17,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",44.23 km/h,54.0,2026-09-08 14:16:30,"106.767166,-6.261933",0.0,155,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",51.3 km/h,46.0,2026-09-08 14:16:00,"106.765839,-6.258739",0.0,163,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",38.42 km/h,53.0,2026-09-08 14:15:30,"106.764977,-6.255365",0.0,164,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",32.59 km/h,46.0,2026-09-08 14:15:00,"106.764305,-6.25297",0.0,161,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",47.8 km/h,43.0,2026-09-08 14:14:36,"106.763062,-6.250892",0.0,140,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",49.41 km/h,41.0,2026-09-08 14:14:06,"106.760696,-6.248035",0.0,142,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",49.08 km/h,43.0,2026-09-08 14:13:48,"106.759636,-6.24606",0.0,162,18,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",48.87 km/h,41.0,2026-09-08 14:13:18,"106.758827,-6.24241",0.0,167,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",51.39 km/h,38.0,2026-09-08 14:12:48,"106.758034,-6.238723",0.0,163,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",49.21 km/h,45.0,2026-09-08 14:12:18,"106.756317,-6.2353",0.0,146,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",53.53 km/h,38.0,2026-09-08 14:11:48,"106.754196,-6.232077",0.0,146,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",48.59 km/h,34.0,2026-09-08 14:11:18,"106.752113,-6.22899",0.0,146,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",40.33 km/h,32.0,2026-09-08 14:10:48,"106.750328,-6.226318",0.0,145,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",42.88 km/h,31.0,2026-09-08 14:10:18,"106.748611,-6.223707",0.0,146,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",51.39 km/h,30.0,2026-09-08 14:09:48,"106.746727,-6.220637",0.0,151,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",43.82 km/h,37.0,2026-09-08 14:09:18,"106.745018,-6.217612",0.0,150,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",48.21 km/h,32.0,2026-09-08 14:08:48,"106.743301,-6.214492",0.0,150,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",47.08 km/h,27.0,2026-09-08 14:08:18,"106.741486,-6.211282",0.0,151,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",54.22 km/h,32.0,2026-09-08 14:07:48,"106.739555,-6.207862",0.0,151,22,,No,on
